id,0,5,11,13,14
## Translators
#5  RusTranslation: Tommy-XL
#13 SChinese: fivefirex&ZeMingOH233 New Roles: 2T&MC-AS-Huier&xiaojin (Edit: Tanakanira)
#14 TChinese: NetherDragon_Tw (Edit: Soukunsandesu)
#?  German: DenKar

## 役職
Neutral,Neutral and Coven,Нейтрал и Ковен,第三陣営,中立阵营(包括巫师),中立陣營,Neutrale und Zirkel
SchrodingerCat,SchrodingerCat,SchrodingerCat,シュレディンガーの猫,薛定谔的猫,薛定諤的貓,Schrödingers Katze
CSchrodingerCat,SchrodingerCat,SchrodingerCat,シュレディンガーの猫,薛定谔的猫,薛定諤的貓,Schrödingers Katze
MSchrodingerCat,SchrodingerCat,SchrodingerCat,シュレディンガーの猫,薛定谔的猫,薛定諤的貓,Schrödingers Katze
EgoSchrodingerCat,SchrodingerCat,SchrodingerCat,シュレディンガーの猫,薛定谔的猫,薛定諤的貓,Schrödingers Katze
JSchrodingerCat,SchrodingerCat,SchrodingerCat,シュレディンガーの猫,薛定谔的猫,薛定諤的貓,Schrödingers Katze
BKSchrodingerCat,SchrodingerCat,SchrodingerCat,シュレディンガーの猫,薛定谔的猫,薛定諤的貓,Schrödingers Katze
CPSchrodingerCat,SchrodingerCat,SchrodingerCat,シュレディンガーの猫,薛定谔的猫,薛定諤的貓,Schrödingers Katze
JugSchrodingerCat,SchrodingerCat,SchrodingerCat,シュレディンガーの猫,薛定谔的猫,薛定諤的貓,Schrödingers Katze
MMSchrodingerCat,SchrodingerCat,SchrodingerCat,シュレディンガーの猫,薛定谔的猫,薛定諤的貓,Schrödingers Katze
PesSchrodingerCat,SchrodingerCat,SchrodingerCat,シュレディンガーの猫,薛定谔的猫,薛定諤的貓,Schrödingers Katze
WWSchrodingerCat,SchrodingerCat,SchrodingerCat,シュレディンガーの猫,薛定谔的猫,薛定諤的貓,Schrödingers Katze
TGSchrodingerCat,SchrodingerCat,SchrodingerCat,シュレディンガーの猫,薛定谔的猫,薛定諤的貓,Schrödingers Katze
Opportunist,Opportunist,Opportunist,オポチュニスト,投机者,投機主義者,Opportunist
Hitman,Hitman,Hitman,Hitman,雇佣杀手,Auftragsmörder
Egoist,Egoist,Egoist,エゴイスト,野心家,利己主義者,Egoist
Lovers,Lovers,Lovers,恋人,恋人,戀人,Liebende
LoversRecode,Lovers,Lovers,恋人,恋人,戀人,Liebende
LoversWin,Lovers,Lovers,恋人,恋人,戀人,Liebende
Jackal,Serial Killer,Serial Killer,ジャッカル,豺狼,豺狼,Schakal
AgiTater,AgiTater,AgiTater,AgiTater,煽动者,AgiTater,AgiTater
NeutWitch,Witch,Witch,Witch,巫女,Witch,Hexe
Sidekick,Hunter,Hunter,Sidekick,跟班,JägerMadMate
PlagueBearer,PlagueBearer,PlagueBearer,PlagueBearer,疫医,疫醫,Patient Zero
Pestilence,Pestilence,Pestilence,Pestilence,瘟神,感染者,Die Pest
Juggernaut,Juggernaut,Juggernaut,Juggernaut,欲望杀手,剑圣,Juggernaut
Postman,Postman,Postman,Postman,邮递员,Postman,Postbote
Marksman,Marksman,Marksman,Marksman,神射手,Schütze
PoisonMaster,Poison Master,Poison Master,Poison Master,制毒师,Giftmeister
Vulture,Vulture,Vulture,Vulture,秃鹫,禿鷹,Geier
Werewolf,Werewolf,Werewolf,Werewolf,狼人,狼人,Werwolf
TheGlitch,The Glitch,The Glitch,The Glitch,混沌,毛刺,Der Glitch
GuardianAngelTOU,Guardian Angel,Guardian Angel,Guardian Angel,守护天使,守護天使,Schutz Engel
Amnesiac,Amnesiac,Amnesiac,Amnesiac,窃忆者,遗忘大师,Amnesiac
Hacker,Hacker,Hacker,Hacker,黑客,黑客,Hacker
BloodKnight,Blood Knight,Blood Knight,BloodKnight,嗜血骑士,BlutRitter
Pirate,Pirate,Pirate,Pirate,海盗,Pirat

# Coven 
Coven,Coven,Coven,Coven,巫师,巫師,Zirkel
Poisoner,Poisoner,Poisoner,Poisoner,毒师,毒藥,Vergifter
CovenWitch,Coven Leader,Witch,Witch,巫师团领袖,巫婆,Zirkel Anführer
HexMaster,Hex Master,Hex Master,Hex Master,魔法师,妖術大師,Hex Meister
PotionMaster,Potion Master,Potion Master,Potion Master,药剂师,藥水大師,Trank Meister
Medusa,Medusa,Medusa,Medusa,美杜莎,美杜莎,Medusa
Mimic,Mimic,Mimic,Mimic,模仿师,模仿者,Mimik
Necromancer,Necromancer,Necromancer,Necromancer,亡灵法师,死靈法師,Totenbeschwörer
Conjuror,Conjuror,Conjuror,Conjuror,魔术师,魔術師,Beschwörer

# Modifiers
Flash,Flash,Flash,Flash,闪电侠,閃電俠,Blitz
TieBreaker,TieBreaker,TieBreaker,TieBreaker,破局者,殘局終結者,Tiebreaker
Diseased,Diseased,Diseased,Diseased,患者,Diseased,Erkrankt
Obvious,Obvious,Obvious,Obvious,广播员,Obvious,Obvious
Oblivious,Oblivious,Oblivious,Oblivious,胆小鬼,膽小鬼,Ahnungslos
Bewilder,Bewilder,Bewilder,Bewilder,迷幻者,致幻師,Verwirrer
Torch,Torch,Torch,Torch,火炬手,火炬手,Taschenlampe
NoSubRoleAssigned,None,Нету,NoSubRoleAssigned,无,NoSubRoleAssigned,NoSubRoleAssigned
Escalation,Escalation,Escalation,Escalation,恐惧者,Escalation,Eskalation
DoubleShot,Double Shot,DoubleShot,DoubleShot,DoubleShot,DoubleShot

# HideAndSeek
HASFox,Fox,Fox,狐,狐狸,狐妖,Fuchs
HASTroll,Troll,Troll,トロール,诱惑者,誘捕者,Troll
Painter,Painter,Painter,Painter,喷漆工,Maler
Supporter,Worker,Worker,Supporter,工人,Arbeiter
Tasker,Tasker,Tasker,Tasker,工人,Tasker
Janitor,Janitor,Janitor,Janitor,清洁工,Hausmeister

# GM
GM,GM,GM (Призрак),GM,管理员,GM(遊戲大師),GM

# 属性
LastImpostor,Last Impostor,Последний Предатель,ラストインポスター,绝境者,絕境者,Letzer Verräter

# その他
TeamImpostor,Team Impostors,Команда Предателей,インポスター陣営,伪装者阵营,狼人陣營,Team Verräter


## 役職説明ショート
NeutralInfo,NEUTRAL - A team on their own.,НЕЙТРАЛ - Команда которая сама по себе.,他のどの陣営にも属さない孤高の陣営,是不属于其他阵营的独立阵营,你屬於一個獨立陣營且不受其他陣營或職業的獲勝條件引響,NEUTRAL - Ihr seid auf euch allein gestellt.
CovenIntroInfo,COVEN - A team of Witches on their own.,КОВЕН - Команда Ведьм которая сама по себе.,他のどの陣営にも属さない孤高の陣営,是不属于其他阵营的独立阵营,你屬於一個獨立陣營且不受其他陣營或職業的獲勝條件引響,Zirkel - Ein Team von Hexen.

# 特殊インポスター役職
BountyHunterInfo,Hunt your bounty down,Охотьтесь за своей целью,標的を確実に仕留めよう,猎杀你的赏金目标,將你的目標拿下,Jage dein Ziel
MareInfo,Kill in the dark,Убивайте в темноте,闇の世界で暗殺せよ,在黑暗中作案,在黑暗中獵殺,Töte im Dunkeln
MinerInfo,"From the Top, Make it Drop, that's a Vent","Телепортируйтесь к последней вентиляции",Miner,让我挖出一个通道吧！,Miner,Diggy Diggy Vent
YingYangerInfo,Force Crewmates to kill one another,Заставьте Членов Экипажа убить друг друга,YingYangerInfo,阴阳有序，二者相望,Zwinge die Besatzung sich gegenseitig zu töten.
MorphlingInfo,Shapeshift into other Crewmates,Морфитесь в других членов экипажа,Morphling,变身成为其他船员来伪装自己,Wandle deine Form um zu töten
FireWorksInfo,Bloom at the last,Расцветите в последний раз,最後に一華咲かせよう,一起来看最后的烟花吧,在最後時刻來看煙火秀吧,Lass das Feuerwerk erstrahlen
DisperserInfo,"Teleport the crew to conceal your kills",Телепортируйте экипажей чтобы скрыть свои убийства,Disperser,将船员传送到其他位置以远离尸体,Disperser,Teleportiere die Besatzung um deine Morde zu verbergen
SerialKillerInfo,You crave blood,Вы жаждете крови,殺人衝動が抑えられない,你渴望鲜血，抑制不住你的冲动,你無法抑制你的殺人衝動,Du sehnst dich nach Blut
ShapeMasterInfo,Shapeshift and confuse the Crewmates,Изменяйте форму чтобы запутать всех Членов экипажа,変身して敵を混乱させよう,变幻成其他人来迷惑敌人,變換外表來迷惑他人,Verwandle Verwirre und Töte
VampireInfo,Bite the Crewmates,Укусите Членов экипажа,クルーを噛んで全滅させよう,吸干他人的血,使用你的牙齒吸乾所有人的血吧,Saug sie aus
PoisonMasterInfo,Poison other Crewmates,Отравите других членов экипажа,PoisonMaster,为其他船员下毒,PoisonMaster,Vergifte sie alle
VampressInfo,Bite and Kill the Crewmates,Укусите и Убейте Членов экипажа,Vampress,吸干船员的血并杀死他们,Saug sie aus
ConsortInfo,Roleblock actions from Others,Блокируйте действия со стороны других,Consort,封禁其他人的技能,Blockiere die Fähigkeiten der Besatzung
WarlockInfo,Curse the Crewmates,Прокляните Членов экипажа,敵を呪い殺そう,给其他船员下咒,詛咒並殺光你的敵人,Verfluche die Besatzung
WitchInfo,Spell the Crewmates,Заклинайте Членов экипажа,敵に魔術をかけよう,用魔法带给船员死亡,使用你的魔法來讓你的敵人死亡,Verhexe die Besatzung
MafiaInfo,Help the Impostors to kill everyone,Помогите Предателям убить всех,インポスターの援助をしよう,帮助其他伪装者杀掉所有人,幫助狼人殺死所有人,Hilf den Verrätern die Besatzung zu töten
BeforeMafiaInfo,You can't kill yet,Вы еще не можете убивать,今はキルをすることができない,潜伏以等候时机,潛伏以等待時機,Du kannst noch nicht töten
AfterMafiaInfo,It's time to kill,Время убивать,サボを活用して皆殺しにしよう,杀光所有人,殺光所有人吧,Die Zeit ist gekommen TÖTE
PuppeteerInfo,Force the Crewmate to kill,Заставьте Члена экипажа убить,敵を操って皆殺しにしよう,操纵敌人，杀光船员,操控對象並殺光所有船員,Zwinge Sie zum töten
FreezerInfo,Freeze crewmates in place,Заморозте Члена Экипажа,Freezer,冻结船员,Freezer,Frier die Besatzung ein
CleanerInfo,Report bodies to clean them,Сообщите о трупе чтобы очистить его,Cleaner,清理案发现场,Melde Körper um sie zu Entfernen.
TimeThiefInfo,Kill the Crewmates to steal discussion time,Убейте Члена экипажа чтобы сократить время на голосовании,敵を殺し、会議時間を奪おう,杀死所有船员并偷取时间,殺光你的敵人並將會議時間縮短,Töte die Crew um die Wählzeit zu verringern
VoteStealerInfo,Each Kill adds a Vote,Каждое ваше убийство добавляет голос,VoteStealer,杀死其他船员并偷窃他们的投票权,VoteStealer,Jeder kill erhöht dein Stimzmahl
SniperInfo,Shoot the Crewmates in the distance,Стреляйте в Членов экипажа на расстоянии,狙い撃つぜ,瞄准敌人，射击！,讓你的敵人在你的狙擊下死亡,Erschieß die Crew aus der Ferne
SilencerInfo,Silence Crewmates in Meetings,Заткните Члена Экипажа на Встречах,Silence Crewmates in Meetings,在会议上让船员阵营保持沉默,在會議上使船員保持沉默,Bringe die BEsatzung zum schweigen
LastImpostorInfo,You are the last one,Ты остался последний,残ったのはあなただけ,你是最后的希望…,你是狼村最後的希望...,Du bist der letzte...
CorruptedSheriffInfo,You betrayed the Crewmates,Ты предал Членов Экипажа,You betrayed the Crewmates,你成为了一个叛徒,你成為了一位叛徒,DU hast die Besatzung verraten
SwooperInfo,Turn invisible temporarily,Вы временно становитесь невидимым,Swooper,利用隐身偷袭其他人,Werde kurzeitig unsichtbar
CamouflagerInfo,Confuse the Crewmates of who's who,Запутайте Членов экипажа кто есть кто,Camouflager,让船员们分不清楚谁是谁,Verwirre die Crew
NinjaInfo,Assasinate your Target,Убейте помеченную цель,NinjaInfo,利用忍术暗杀你的目标,Ermoder dein Ziel aus dem Schatten
GrenadierInfo,"Hinder the Crewmate's vision",Уменьшите обзор Членов Экипажа До Нуля,Grenadier,阻碍船员的视线,Werf eine Blendgranate
EvilGuesserInfo,Guess and shoot Crew mid-meeting,Угадай роли Членов экипажа посреди встречи,推測して打ち抜け,让我猜猜你的身份,猜測和射擊,Erate und erschieß die Besatzung im Meeting
ManipulatorInfo,Sabotage the next Meeting,Саботируйте следующую встречу,ManipulatorInfo,破坏下一次的会议,Sabotier das nächste Meeting
IdentityTheftInfo,Wear the Look of your Victims,Носите образ своих жертв,IdentityTheft,变成死者的样子,IdentityTheft,Trage die Haut deiner Opfer
ImpostorGhostInfo,Spectate the Remaining Targets of your Team,Наблюдайте за оставшимися целями вашей команды,ImpostorGhost,帮助自己的团队寻找剩下的幸存者,Beobachte den Rest deines Teams.
EscapistInfo,Mark a Location to Teleport Back To,EscapistInfo,EscapistInfo,EscapistInfo,EscapistInfo,Markier einen Ort um dich dorthin zurück zu teleportieren
BomberInfo,Bomb Crewmates to Kill for You,Bomb Crewmates to Kill for You,Bomb Crewmates to Kill for You,Bomb Crewmates to Kill for You,Bomb Crewmates to Kill for You,Bomb Crewmates to Kill for You

# マッドメイト系役職
MadmateInfo,Help the Impostors,Помогите Предателям,インポスターの援助をしよう,帮助伪装者,幫助狼人,Hilf den Verrätern
ParasiteInfo,Help the Impostors if you can Find Em',Помогите Предателям если сможете их найти,Help the Impostors if you can Find Em',如果你可以找到伪装者那就帮助他们,Help the Impostors if you can Find Em',Hilf den Verrätern wenn du sie finden kannst
MadGuardianInfo,Finish your tasks to help the Impostors,Завершите свои задания чтобы помочь Предателям,タスクを済ませ、インポスターの援助をしよう,完成任务后来帮助伪装者,完成你的任務並幫助狼人,Beende deine Aufgaben um den Verrätern zu helfen
MadSnitchInfo,Finish your tasks to help the Impostors,Завершите свои задания чтобы помочь Предателям,タスクを済ませ、インポスターの援助をしよう,完成任务后来帮助伪装者,完成你的任務並幫助狼人,Beende deine Aufgaben um den Verrätern zu helfen
SKMadmateInfo,You are now on Team Impostors,Теперь вы в команде Предателя,サイドキックにされた,你是伪装者的伙伴，你要帮助他们,"你現在是狼人的夥伴了,盡你所能幫助他們"Du gehörst nun zum Team der Verräter
CrewPostorInfo,Do tasks to kill the Nearest Player,Выполняйте задания чтобы убить ближайшего игрока,CrewPostorInfo,做任务并杀死附近的人,Beende Aufgaben um den nächsten Spieler zu töten

# 両陣営可能役職
WatcherInfo,Keep your eyes on everyone's votes,Следите за всеми голосами,みんなの投票に目を光らせよう,你可以看见所有人的投票，注意他们的投票,注意所有人的投票,Beobachte die Abstimmung
GuesserInfo,Guess and Shoot,Угадай и стреляй,推測して打ち抜け,让我猜猜你的身份,猜測和射擊,Rate und Schieße

# 特殊クルー役職
NiceGuesserInfo,Guess impostor roles mid-meeting to kill them!,Угадайте роли Предателей посреди встречи чтобы убить их!,Guess impostor roles mid-meeting to kill them!,在会议中猜测伪装者的身份来让他死亡,Erate die Rollen der Verräter im Meeting und töte sie! 
BaitInfo,Killing you causes an Instant Self Report,Приманивайте ваших врагов,敵を罠にはめよう,诱骗你的敌人,"犧牲小我,完成大我",Wenn du stribst zwingst du deinen Mörder dich zu reporten.
BodyguardInfo,"Protect someone at the cost of your life!",Защити игрока ценой своей жизни!,Bodyguard,不惜所有代价保护别人!,Beschütze jemanden um jeden Preis
MedicInfo,Cast a shield around a crewmate,Наложите щит на члена экипажа,Medic,为附近的船员提供护盾,Beschöwre ein Schild um ein Besatzungmitglied
OracleInfo,"Reveal the role of someone upon Death",Раскройте роль игрока после смерти,Oracle,死后揭示其他人的职业,Wenn du stirbst wird eine Rolle offenbart
EscortInfo,Roleblock actions from Killers,Заблокируйте кнопки члена экипажа,Escort,封锁其他人的技能,Blockiere die Aktionen eines Killers
CrusaderInfo,Kill the next person that interacts with your Target,Убейте игрока который взаимодействует с вашей целью,Crusader,杀死下一个与你的目标互动的人,Töte die nächste Person die mit deinem Ziel interagiert
VeteranInfo,Alert to Kill anyone who Interacts with You,Оповещение об убийстве любого кто взаимодействует с вами,Alert to Kill anyone who Interacts with You,警惕任何和你有互动的人,警告殺死任何與你互動的人,Gehe in Deckung und töte alle die mit dir interagieren
LighterInfo,Expand one's Vision,Увеличьте свой обзор,すべてを照らそう,照亮黑暗，让别人看清楚,照亮黑暗中的一切吧,Erweitert deine Sicht
TransporterInfo,Make Two Players swap Positions,Заставьте двух игроков телепортироваться,Transporter,交换两名玩家的位置,Tasuche die Position zweier Spieler
MayorInfo,Your vote counts multiple times,Ваши голоса учитывается несколько раз,自分の票が何倍もの力を持っている,你的投票更有分量,"你的票數更多,更有料",Deine Stimme zählt mehr
SabotageMasterInfo,Fix sabotages faster,Устраните саботаж в одиночку,より早くサボタージュを直そう,请尽快修理破坏,盡快維修船上的破壞,Repariere Sabotage schneller
SheriffInfo,Shoot the Impostors,Стреляйте в Предателей,インポスターを撃ち抜け,把伪装者统统执法掉,執法狼人們,Erschieß die Verräter
InvestigatorInfo,Discover the Truth about their Role,Узнайте какие у них Роли,Investigator,发现关于他们职业的真相,Ergahre die Wahrheit über die anderen Spieler
MysticInfo,Know when Someone Dies,Вы знаете что кто-то умер,Mystic,知道尸体死亡的时间,Du weißt wann jemand stirbt
PhysicistInfo,Access your portable Vitals Tablet,Доступ к портативному пульсам,Physicist,随时使用生命监测能力。\n完成任务即可充电,Du hast Zugriff auf die Vitalwerte
MechanicInfo,Vent around the map to catch Killers,Используйте вентиляцию чтобы поймать Убийц,Mechanic,可使用通风口,Nutze die Luftschächte um die Verräter zu finden
SnitchInfo,Finish your tasks to snitch out the Killers,Завершите свои задания чтобы узнать Предателей,タスクを早く済ませよう,完成任务来找出伪装者,完成你的所有任務來找到狼人們,Beende deine Aufgaben um die Identität der Verräter zu sehen
SpeedBoosterInfo,Boost the players,Ускорьте одного из игроков,走らせろ,让其他人跑起来吧,讓其他人跑得更快,Booste die Spieler
DoctorInfo,Access vitals and cause of death,Доступ к пульсам и к причинам смерти,斯くして奴は死んだ,调查他人死因,看見他們的死因,Du hast Zugriff auf die Vitalwerte und kannst die Todesurasache sehen
TrapperInfo,Trap your enemies,Ловите своих врагов,敵を罠にはめよう,引诱敌人落入你的陷阱当中,讓你的敵人受困於陷阱中,Stelle eine Falle
DictatorInfo,Hang your enemy based on your own judgement,Повесьте своего врага на страх и риск,独裁政治をしよう,让我统治世界，拥有无上的权利,讓所有人臣服於你,Deine Stimme zählz über alles
ChildInfo,No one will Harm You,Никто не причинит тебе вреда,No one will Harm You,在你长大之前没有人敢伤害你,在你長大前都不敢擊殺你,Keiner wird dir Wehtun
SleuthInfo,Know the role of Reported Bodies,Узнайте роль зарепортившего трупа,Discover the Unknown,你发现了一些关于死者的线索,你發現了一些線索,Du weißt die Rollen der leichen die du meldest
